project,precinct,building,base_surf,surf_type,surf_id,surf_area,surf_irr,surf_cx,surf_cy,surf_cz,surf_nx,surf_ny,surf_nz
jl-bahagia,prc-00,blk-27,roof-02,PV-module,64,2.584388,1627.91,111.147319,-45.066705,-58.676462,-0.106549,-0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,65,2.584383,1620.47,110.251879,-44.370889,-58.676462,-0.106549,-0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,66,2.584388,1602.35,109.356456,-43.675077,-58.676462,-0.106549,-0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,67,2.584387,1577.44,90.552386,-29.062973,-58.676462,-0.106549,-0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,68,2.584387,1602.01,89.656955,-28.367159,-58.676462,-0.106549,-0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,69,2.584388,1602.8,88.761523,-27.671343,-58.676462,-0.106549,-0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,70,2.584385,1600.56,87.866091,-26.975528,-58.676462,-0.106549,-0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,71,2.584388,1597.08,86.97066,-26.279714,-58.676462,-0.106549,-0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,72,2.584387,1591.23,86.075228,-25.5839,-58.676462,-0.106549,-0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,73,2.584387,1595.72,85.179797,-24.888086,-58.676462,-0.106549,-0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,74,2.584391,1605.03,84.284365,-24.19227,-58.676462,-0.106549,-0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,75,2.584382,1613.11,83.388926,-23.496458,-58.676462,-0.10655,-0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,76,2.58438,1617.21,82.493502,-22.800642,-58.676462,-0.10655,-0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,77,2.584382,1628.88,81.598063,-22.104828,-58.676462,-0.10655,-0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,78,2.584382,1629.9,80.702639,-21.409014,-58.676462,-0.106549,-0.137117,0.984808
