project,precinct,building,base_surf,surf_type,surf_id,surf_area,surf_irr,surf_cx,surf_cy,surf_cz,surf_nx,surf_ny,surf_nz
sin_ming,prc-00,blk-00,roof-01,PV-module,57,1.94236,1616.09,29.87965,3.475517,-38.565473,0.156241,-0.075779,0.984808
sin_ming,prc-00,blk-00,roof-01,PV-module,58,1.942361,1622.09,29.447188,2.583858,-38.565473,0.156241,-0.075779,0.984808
sin_ming,prc-00,blk-00,roof-01,PV-module,59,1.94236,1631.19,29.014723,1.692199,-38.565473,0.156241,-0.075779,0.984808
sin_ming,prc-00,blk-00,roof-01,PV-module,60,1.94236,1635.65,28.582259,0.80054,-38.565473,0.156241,-0.075779,0.984808
sin_ming,prc-00,blk-00,roof-01,PV-module,61,1.942361,1640.43,22.96023,-10.791029,-38.565473,0.156242,-0.075779,0.984808
sin_ming,prc-00,blk-00,roof-01,PV-module,62,1.942361,1628.26,24.711832,-11.640573,-38.565473,-0.156242,0.075779,0.984808
sin_ming,prc-00,blk-00,roof-01,PV-module,63,1.942359,1642.92,22.527766,-11.682686,-38.565473,0.156241,-0.075779,0.984808
sin_ming,prc-00,blk-00,roof-01,PV-module,64,1.942361,1635.93,24.279367,-12.532234,-38.565473,-0.156241,0.075779,0.984808
sin_ming,prc-00,blk-00,roof-01,PV-module,65,1.942361,1642.74,22.095301,-12.574347,-38.565473,0.156241,-0.075779,0.984808
sin_ming,prc-00,blk-00,roof-01,PV-module,66,1.942359,1631.57,23.846903,-13.42389,-38.565473,-0.156241,0.075779,0.984808
sin_ming,prc-00,blk-00,roof-01,PV-module,67,1.942361,1644.06,21.662836,-13.466006,-38.565473,0.156242,-0.075779,0.984808
sin_ming,prc-00,blk-00,roof-01,PV-module,68,1.942361,1635.02,23.41444,-14.315551,-38.565473,-0.156242,0.075779,0.984808
sin_ming,prc-00,blk-00,roof-01,PV-module,69,1.942359,1645.35,21.230374,-14.357665,-38.565473,0.156241,-0.075779,0.984808
sin_ming,prc-00,blk-00,roof-01,PV-module,70,1.942361,1636.24,22.981975,-15.20721,-38.565473,-0.156241,0.075779,0.984808
sin_ming,prc-00,blk-00,roof-01,PV-module,71,1.942359,1645.51,20.797909,-15.249324,-38.565473,0.156241,-0.075779,0.984808
sin_ming,prc-00,blk-00,roof-01,PV-module,72,1.942363,1634.3,22.549511,-16.098871,-38.565473,-0.156242,0.075779,0.984808
sin_ming,prc-00,blk-00,roof-01,PV-module,73,1.942359,1647.08,20.365444,-16.140982,-38.565473,0.156241,-0.075779,0.984808
sin_ming,prc-00,blk-00,roof-01,PV-module,74,1.942359,1635.43,22.117048,-16.990529,-38.565473,-0.156241,0.075779,0.984808
sin_ming,prc-00,blk-00,roof-01,PV-module,75,1.942359,1648.85,19.932982,-17.032641,-38.565473,0.156241,-0.075779,0.984808
sin_ming,prc-00,blk-00,roof-01,PV-module,76,1.942361,1639.07,21.684583,-17.882188,-38.565473,-0.156241,0.075779,0.984808
sin_ming,prc-00,blk-00,roof-01,PV-module,77,1.942359,1645.84,19.500517,-17.9243,-38.565473,0.156241,-0.075779,0.984808
sin_ming,prc-00,blk-00,roof-01,PV-module,78,1.942359,1636.36,21.252119,-18.773847,-38.565473,-0.156241,0.075779,0.984808
sin_ming,prc-00,blk-00,roof-01,PV-module,79,1.942359,1641.94,19.068053,-18.815959,-38.565473,0.156241,-0.075779,0.984808
sin_ming,prc-00,blk-00,roof-01,PV-module,80,1.942359,1634.77,20.819654,-19.665506,-38.565473,-0.156241,0.075779,0.984808
sin_ming,prc-00,blk-00,roof-01,PV-module,81,1.942363,1647.93,18.635588,-19.707619,-38.565473,0.156242,-0.075779,0.984808
sin_ming,prc-00,blk-00,roof-01,PV-module,82,1.942361,1634.53,20.387191,-20.557165,-38.565473,-0.156241,0.075779,0.984808
