project,precinct,building,base_surf,surf_type,surf_id,surf_vid,surf_vx,surf_vy,surf_vz
sin_ming,prc-00,blk-00,roof-01,PV-module,157,1,28.00791,-17.094137,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,157,2,26.271179,-16.251804,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,157,3,25.838715,-17.143463,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,158,0,24.087112,-16.293917,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,158,1,23.654648,-17.185575,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,158,2,25.39138,-18.027908,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,158,3,25.823843,-17.13625,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,159,0,27.142982,-18.877455,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,159,1,27.575447,-17.985796,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,159,2,25.838715,-17.143463,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,159,3,25.40625,-18.035122,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,160,0,23.654648,-17.185575,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,160,1,23.222185,-18.077234,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,160,2,24.958916,-18.919567,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,160,3,25.39138,-18.027908,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,161,0,26.710518,-19.769114,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,161,1,27.142982,-18.877455,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,161,2,25.40625,-18.035122,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,161,3,24.973787,-18.926781,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,162,0,23.222185,-18.077234,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,162,1,22.789721,-18.968893,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,162,2,24.526451,-19.811226,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,162,3,24.958916,-18.919567,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,163,0,26.278055,-20.660772,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,163,1,26.710518,-19.769114,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,163,2,24.973787,-18.926781,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,163,3,24.541323,-19.818439,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,164,0,22.789721,-18.968893,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,164,1,22.357256,-19.860554,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,164,2,24.093988,-20.702887,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,164,3,24.526451,-19.811226,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,165,0,25.845591,-21.552433,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,165,1,26.278055,-20.660772,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,165,2,24.541323,-19.818439,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,165,3,24.108858,-20.710098,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,166,0,22.357256,-19.860554,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,166,1,21.924793,-20.752213,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,166,2,23.661524,-21.594545,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,166,3,24.093988,-20.702887,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,167,0,25.413126,-22.444092,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,167,1,25.845591,-21.552433,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,167,2,24.108858,-20.710098,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,167,3,23.676395,-21.601759,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,168,0,21.924793,-20.752213,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,168,1,21.492329,-21.643871,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,168,2,23.229061,-22.486204,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,168,3,23.661524,-21.594545,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,169,0,24.980663,-23.335751,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,169,1,25.413126,-22.444092,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,169,2,23.676395,-21.601759,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,169,3,23.243931,-22.493418,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,170,0,21.492329,-21.643871,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,170,1,21.059864,-22.53553,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,170,2,22.796597,-23.377863,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,170,3,23.229061,-22.486204,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,171,0,24.548199,-24.227409,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,171,1,24.980663,-23.335751,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,171,2,23.243931,-22.493418,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,171,3,22.811466,-23.385077,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,172,0,21.059864,-22.53553,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,172,1,20.627401,-23.427189,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,172,2,22.364132,-24.269522,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,172,3,22.796597,-23.377863,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,173,0,24.115734,-25.119068,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,173,1,24.548199,-24.227409,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,173,2,22.811466,-23.385077,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,173,3,22.379004,-24.276735,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,174,0,20.627401,-23.427189,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,174,1,20.194937,-24.318848,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,174,2,21.931669,-25.16118,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,174,3,22.364132,-24.269522,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,175,0,23.683271,-26.010727,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,175,1,24.115734,-25.119068,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,175,2,22.379004,-24.276735,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,175,3,21.946539,-25.168394,-38.735645
